"gene1","gene2","OR_raw","OR","pval","n11","n10","n01","n00","fdr"
"FGFR3","NF1",0,0.663442940038685,1,0,5,23,171,1
"FGFR3","MSH6",9.16197602766266,11.4848484848485,0.143293356899458,1,4,5,189,0.533883313609273
"FGFR3","RB1",0,2.63636363636364,1,0,5,6,188,1
"FGFR3","CDKN2B",2.42922298667648,3.18018018018018,0.397778443492875,1,4,18,176,0.865522050556996
"FGFR3","MDM2",0,1.5974025974026,1,0,5,10,184,1
"FGFR3","PTPN11",0,3.13223140495868,1,0,5,5,189,1
"FGFR3","IDH",0.805184340550306,1.06451612903226,1,1,4,46,148,1
"KIAA1549-BRAF","NF1",0,0.480851063829787,1,0,7,23,169,1
"KIAA1549-BRAF","MSH6",0,1.91282051282051,1,0,7,6,186,1
"KIAA1549-BRAF","RB1",0,1.91282051282051,1,0,7,6,186,1
"KIAA1549-BRAF","CDKN2B",0,0.593162393162393,1,0,7,19,173,1
"KIAA1549-BRAF","MDM2",0,1.15873015873016,1,0,7,10,182,1
"KIAA1549-BRAF","PTPN11",0,2.27272727272727,1,0,7,5,187,1
"KIAA1549-BRAF","IDH",0,0.204210526315789,0.201881923950057,0,7,47,145,0.613614795163988
"NF1","MSH6",1.55051176071659,2.07878787878788,0.526201458243794,1,22,5,171,1
"NF1","RB1",0,0.55810147299509,1,0,23,6,170,1
"NF1","CDKN2B",0.400356257388494,0.571171171171171,0.703942703037373,1,22,18,158,1
"NF1","MDM2",0,0.337386018237082,0.608870153489809,0,23,10,166,1
"NF1","PTPN11",1.94628376661666,2.55555555555556,0.462474169001731,1,22,4,172,0.962446243598196
"NF1","IDH",0,0.058006718924972,0.00278898032096434,0,23,47,129,0.0402659033839226
"MSH6","RB1",7.33662012766313,9.34710743801653,0.169789438644836,1,5,5,188,0.576784710690546
"MSH6","CDKN2B",1.93618573763972,2.58722358722359,0.456758905212645,1,5,18,175,0.959193700946554
"MSH6","MDM2",0,1.34432234432234,1,0,6,10,183,1
"MSH6","PTPN11",0,2.63636363636364,1,0,6,5,188,1
"MSH6","IDH",1.63985175061651,1.81318681318681,0.628009386892542,2,4,45,148,1
"RB1","CDKN2B",0,0.68836291913215,1,0,6,19,174,1
"RB1","MDM2",0,1.34432234432234,1,0,6,10,183,1
"RB1","PTPN11",9.16197602766266,11.4848484848485,0.143293356899458,1,5,4,189,0.533883313609273
"RB1","IDH",0.640428065567117,0.865102639296188,1,1,5,46,147,1
"CDKN2B","MDM2",0,0.416361416361416,0.602603068728905,0,19,10,170,1
"CDKN2B","PTPN11",0,0.818181818181818,1,0,19,5,175,1
"CDKN2B","IDH",0.580948460719499,0.650663942798774,0.572165814385632,3,16,44,136,1
"MDM2","PTPN11",5.0547197168746,6.50877192982456,0.229325912207324,1,9,4,185,0.664488479166435
"MDM2","IDH",0,0.142857142857143,0.120993269141828,0,10,47,142,0.517582317995597
"PTPN11","IDH",0,0.282296650717703,0.593658902348835,0,5,47,147,1
