"gene1","gene2","OR_raw","OR","pval","n11","n10","n01","n00","fdr"
"PIK3CA","TP53",0.94862201835412,1.00519480519481,1,4,10,27,64,1
"PIK3CA","FGFR3-TACC3",0,0.388505747126437,0.590000094241292,0,14,7,84,1
"PIK3CA","NF1",1,1.16296296296296,1,2,12,13,78,1
"PIK3CA","RB1",1.66341400383529,2.16049382716049,0.518391188062267,1,13,4,87,1
"PIK3CA","CDKN2B",2.60311926737292,2.72571428571429,0.221432555621721,4,10,12,79,0.800481893183614
"PIK3CA","MDM2",0.702989818542134,0.964912280701754,1,1,13,9,82,1
"PIK3CA","PTPN11",0,0.542319749216301,1,0,14,5,86,1
"EGFR","PTEN",1.68513988772012,1.68387096774194,0.267235104552559,14,27,15,49,0.865332719503523
"EGFR","BRAF",0.771099837692313,0.850914205344585,1,2,39,4,60,1
"EGFR","CDK4",0.73740713236215,0.75712143928036,0.623293028683741,7,34,14,50,1
"EGFR","MDM4",10.5761232136861,7.75117370892019,0.0136309713210042,6,35,1,63,0.185381209965657
"EGFR","PDGFRA",0.279821825512918,0.328511151295961,0.120798641612395,2,39,10,54,0.643591468930313
"EGFR","CDKN2A",2.48396980679518,2.45864661654135,0.0582607967729978,13,28,10,54,0.440192686729317
"EGFR","TP53",0.540053068487649,0.552136752136752,0.195086582107808,9,32,22,42,0.800481893183614
"EGFR","FGFR3-TACC3",0,0.0923694779116466,0.0409243122616527,0,41,7,57,0.347856654224048
"EGFR","NF1",0.0907558393592309,0.128991060025543,0.00447088773928586,1,40,14,50,0.0868629617918395
"EGFR","RB1",0.378033327807081,0.497942386831276,0.646186294155489,1,40,4,60,1
"EGFR","CDKN2B",4.26223916290035,4.07898658718331,0.0118003936808401,11,30,5,59,0.178317060066028
"EGFR","MDM2",0.64544344088093,0.696969696969697,0.736809014550479,3,38,7,57,1
"EGFR","PTPN11",1.04228611767259,1.1121157323689,1,2,39,3,61,1
"PTEN","BRAF",1.32949215347568,1.46464646464646,0.667087753327582,2,27,4,72,1
"PTEN","CDK4",1.06026681119233,1.0974605353466,1,6,23,15,61,1
"PTEN","MDM4",1.05134351330652,1.18181818181818,1,2,27,5,71,1
